student_id,interests,experience_level,learning_mode
STU01109,"Web Development, Cybersecurity",Intermediate,Visual
STU01110,Software Development,Intermediate,Visual
STU01111,"Cybersecurity, Software Development, Deep Learning",Intermediate,practical
STU01112,"SQL, Data Analytics, Web Development",Beginner,Visual
STU01113,"Python, SQL, Data Analytics",Advanced,Reading
STU01114,"Python, Web Development, Software Development",Beginner,practical
STU01115,"Artificial Intelligence, Software Development, Deep Learning",Intermediate,Visual
STU01116,DevOps,Beginner,Visual
STU01117,"DevOps, Machine Learning",Intermediate,Reading
STU01118,"Machine Learning, Software Development, Data Analytics",Beginner,Reading
STU01119,"SQL, Web Development",Advanced,Reading
STU01120,Machine Learning,Advanced,Reading
STU01121,"Web Development, DevOps",Intermediate,practical
STU01122,"SQL, Machine Learning",Intermediate,Reading
STU01123,"Data Science, Data Analytics",Intermediate,Reading
STU01124,Python,Beginner,Reading
STU01125,"Software Development, SQL",Advanced,practical
STU01126,Artificial Intelligence,Beginner,Reading
STU01127,"DevOps, Data Science, SQL",Beginner,practical
STU01128,Python,Advanced,Reading
STU01129,Web Development,Beginner,Reading
STU01130,"Web Development, Python",Advanced,practical
STU01131,Deep Learning,Advanced,Reading
STU01132,"Software Development, DevOps, Artificial Intelligence",Advanced,Visual
STU01133,"Cybersecurity, Web Development",Advanced,practical
STU01134,"Machine Learning, DevOps, Cloud Computing",Advanced,practical
STU01135,"Web Development, SQL, Data Analytics",Intermediate,Visual
STU01136,"Artificial Intelligence, Cybersecurity",Intermediate,practical
STU01137,"Python, SQL",Advanced,practical
STU01138,"Data Analytics, Machine Learning",Advanced,practical
STU01139,"Deep Learning, Cybersecurity",Advanced,Reading
STU01140,"Artificial Intelligence, Data Science, SQL",Advanced,Visual
STU01141,DevOps,Intermediate,Reading
STU01142,"DevOps, Cybersecurity, Deep Learning",Intermediate,Visual
STU01143,"Data Science, Web Development",Advanced,Visual
STU01144,DevOps,Intermediate,Reading
STU01145,SQL,Advanced,practical
STU01146,Artificial Intelligence,Advanced,Visual
STU01147,"Machine Learning, DevOps, Artificial Intelligence",Intermediate,Reading
STU01148,DevOps,Advanced,practical
STU01149,"Data Science, Cybersecurity, DevOps",Advanced,Visual
STU01150,"Python, Deep Learning, SQL",Beginner,Reading
STU01151,"Deep Learning, Python, Machine Learning",Beginner,practical
STU01152,"Artificial Intelligence, Cloud Computing",Advanced,Reading
STU01153,"Cybersecurity, Machine Learning",Intermediate,Visual
STU01154,"Data Analytics, Python",Beginner,Reading
STU01155,"Web Development, Software Development, Data Science",Intermediate,Reading
STU01156,"SQL, Python, DevOps",Intermediate,Reading
STU01157,"SQL, Web Development",Intermediate,Visual
STU01158,"Python, DevOps, Deep Learning",Beginner,Reading
STU01159,Artificial Intelligence,Intermediate,practical
STU01160,"DevOps, Cybersecurity",Advanced,Visual
STU01161,"Python, Cybersecurity",Beginner,practical
STU01162,"Machine Learning, Software Development",Advanced,Reading
STU01163,"Python, Cloud Computing",Advanced,practical
STU01164,SQL,Beginner,Reading
STU01165,"DevOps, Deep Learning, SQL",Intermediate,Reading
STU01166,"Cybersecurity, Web Development",Advanced,Visual
STU01167,DevOps,Intermediate,Reading
STU01168,Software Development,Intermediate,practical
STU01169,"DevOps, Artificial Intelligence",Beginner,practical
STU01170,Deep Learning,Beginner,Visual
STU01171,"Web Development, Software Development, Data Science",Beginner,Visual
STU01172,"Artificial Intelligence, Machine Learning",Intermediate,Reading
STU01173,"Cloud Computing, Web Development, Software Development",Beginner,Visual
STU01174,"Python, Deep Learning, DevOps",Advanced,Reading
STU01175,"Software Development, Python",Intermediate,practical
STU01176,Python,Advanced,Visual
STU01177,"Cybersecurity, Data Science, Web Development",Advanced,practical
STU01178,Cybersecurity,Beginner,practical
STU01179,"Artificial Intelligence, Data Science",Beginner,practical
STU01180,"Cybersecurity, Deep Learning, Artificial Intelligence",Intermediate,Reading
STU01181,"Cybersecurity, Cloud Computing",Intermediate,Reading
STU01182,"Deep Learning, Web Development, DevOps",Beginner,practical
STU01183,Python,Advanced,Visual
STU01184,DevOps,Advanced,practical
STU01185,"Software Development, Deep Learning, DevOps",Advanced,Visual
STU01186,"SQL, Data Science",Beginner,Visual
STU01187,Artificial Intelligence,Advanced,Visual
STU01188,"SQL, Machine Learning",Beginner,Reading
STU01189,"Python, Software Development",Intermediate,Reading
STU01190,"Python, Cybersecurity",Intermediate,Visual
STU01191,"DevOps, Cybersecurity, Data Science",Intermediate,Reading
STU01192,Deep Learning,Beginner,practical
STU01193,"Artificial Intelligence, Deep Learning, Data Science",Intermediate,Visual
STU01194,"Python, SQL, Machine Learning",Advanced,Reading
STU01195,"Python, Data Analytics",Advanced,Reading
STU01196,"Data Analytics, Deep Learning",Intermediate,Visual
STU01197,"Python, Data Science",Beginner,Reading
STU01198,"DevOps, Data Science, Cybersecurity",Intermediate,Reading
STU01199,Data Analytics,Beginner,Reading
STU01200,"DevOps, Artificial Intelligence, Machine Learning",Intermediate,Visual
STU01201,"DevOps, Cloud Computing, Software Development",Intermediate,Reading
STU01202,"SQL, Software Development",Beginner,Reading
STU01203,Data Science,Intermediate,practical
STU01204,DevOps,Beginner,Visual
STU01205,Data Analytics,Beginner,Reading
STU01206,"DevOps, Machine Learning, Cloud Computing",Beginner,practical
STU01207,"Cybersecurity, Machine Learning, SQL",Intermediate,Reading
STU01208,"Cybersecurity, Cloud Computing, Data Analytics",Advanced,Visual
STU01209,"SQL, Data Analytics",Beginner,Reading
STU01210,Python,Advanced,Visual
STU01211,"Machine Learning, DevOps, Data Science",Intermediate,Visual
STU01212,Data Analytics,Beginner,practical
STU01213,Deep Learning,Beginner,practical
STU01214,"Data Analytics, Deep Learning, Cybersecurity",Beginner,practical
STU01215,"Machine Learning, Cybersecurity",Beginner,Visual
STU01216,"Machine Learning, Artificial Intelligence",Advanced,practical
STU01217,SQL,Intermediate,Reading
STU01218,"Cybersecurity, Cloud Computing",Intermediate,Visual
STU01219,Artificial Intelligence,Advanced,Reading
STU01220,"Web Development, Data Science",Advanced,practical
STU01221,Machine Learning,Intermediate,Reading
STU01222,"Data Science, Python",Beginner,Reading
STU01223,"Cloud Computing, Data Science",Intermediate,Reading
STU01224,Web Development,Beginner,Reading
STU01225,"Deep Learning, Artificial Intelligence",Intermediate,practical
STU01226,"Machine Learning, Python",Advanced,Visual
STU01227,SQL,Beginner,Visual
STU01228,Artificial Intelligence,Advanced,Visual
STU01229,"Data Science, Machine Learning",Intermediate,Reading
STU01230,"Data Science, Artificial Intelligence",Beginner,practical
STU01231,"Data Analytics, DevOps, SQL",Intermediate,Reading
STU01232,Machine Learning,Beginner,practical
STU01233,"Cloud Computing, Data Science",Advanced,Visual
STU01234,"Cybersecurity, DevOps, Machine Learning",Advanced,Reading
STU01235,SQL,Advanced,Reading
STU01236,"SQL, Data Science, Deep Learning",Intermediate,Visual
STU01237,"Python, DevOps, Deep Learning",Intermediate,practical
STU01238,"SQL, Deep Learning",Advanced,Visual
STU01239,Cloud Computing,Advanced,Visual
STU01240,"Python, Deep Learning, Data Analytics",Beginner,Visual
STU01241,"Software Development, Data Science",Intermediate,Reading
STU01242,"Machine Learning, Cybersecurity, Data Analytics",Beginner,Reading
STU01243,"SQL, Artificial Intelligence",Intermediate,practical
STU01244,"Web Development, Machine Learning",Intermediate,practical
STU01245,Artificial Intelligence,Advanced,Visual
STU01246,"Web Development, Deep Learning, Data Science",Intermediate,practical
STU01247,Data Analytics,Beginner,Reading
STU01248,Cloud Computing,Advanced,Visual
STU01249,"Web Development, Cybersecurity, Machine Learning",Advanced,practical
STU01250,Data Science,Advanced,Reading
STU01251,Artificial Intelligence,Beginner,practical
STU01252,Cybersecurity,Intermediate,practical
STU01253,"Deep Learning, Software Development, Data Analytics",Intermediate,practical
STU01254,"Data Science, Deep Learning, Software Development",Beginner,practical
STU01255,Data Analytics,Advanced,practical
STU01256,Software Development,Intermediate,Visual
STU01257,Cybersecurity,Advanced,Reading
STU01258,"DevOps, Cybersecurity",Intermediate,Visual
STU01259,"Cybersecurity, Artificial Intelligence",Advanced,Visual
STU01260,"Cybersecurity, Artificial Intelligence, Web Development",Intermediate,Reading
STU01261,"Data Analytics, SQL, Machine Learning",Intermediate,Reading
STU01262,"Artificial Intelligence, Cloud Computing",Beginner,Visual
STU01263,"SQL, Machine Learning, Software Development",Beginner,practical
STU01264,Software Development,Intermediate,Visual
STU01265,"Python, DevOps, Machine Learning",Beginner,Reading
STU01266,"Cybersecurity, Deep Learning",Beginner,Reading
STU01267,"Cybersecurity, Data Science",Advanced,Reading
STU01268,SQL,Intermediate,practical
STU01269,"DevOps, Web Development",Intermediate,Visual
STU01270,"Cybersecurity, Data Analytics, Data Science",Advanced,Reading
STU01271,Data Analytics,Beginner,Visual
STU01272,DevOps,Advanced,Reading
STU01273,SQL,Advanced,practical
STU01274,"Web Development, Artificial Intelligence",Intermediate,practical
STU01275,"Data Science, Web Development, SQL",Intermediate,Visual
STU01276,"Data Science, Cloud Computing",Beginner,practical
STU01277,"SQL, Data Science",Beginner,practical
STU01278,Artificial Intelligence,Beginner,practical
STU01279,Web Development,Advanced,practical
STU01280,Machine Learning,Advanced,Reading
STU01281,"Deep Learning, Machine Learning",Beginner,Visual
STU01282,"DevOps, Cybersecurity, Data Analytics",Beginner,Visual
STU01283,Data Science,Intermediate,Reading
STU01284,Data Analytics,Advanced,Visual
STU01285,Machine Learning,Advanced,Visual
STU01286,Web Development,Advanced,Visual
STU01287,"Cybersecurity, Artificial Intelligence",Intermediate,Reading
STU01288,"Deep Learning, Data Analytics",Advanced,Reading
STU01289,Data Analytics,Intermediate,Reading
STU01290,Data Analytics,Beginner,Visual
STU01291,Web Development,Beginner,Reading
STU01292,"Python, Deep Learning, Data Analytics",Beginner,Visual
STU01293,Software Development,Beginner,Visual
STU01294,"DevOps, Machine Learning",Advanced,Reading
STU01295,"SQL, Machine Learning, Cybersecurity",Intermediate,Visual
STU01296,"Deep Learning, Software Development",Advanced,Reading
STU01297,Deep Learning,Beginner,Visual
STU01298,"Data Science, Web Development, Cybersecurity",Intermediate,practical
STU01299,"SQL, Data Analytics, DevOps",Beginner,practical
STU01300,"SQL, Data Analytics",Beginner,Visual
STU01301,Data Science,Beginner,Visual
STU01302,"Web Development, Python, Machine Learning",Intermediate,practical
STU01303,"SQL, DevOps",Advanced,practical
STU01304,"SQL, Deep Learning, Machine Learning",Advanced,practical
STU01305,"Deep Learning, Web Development, Data Science",Advanced,Reading
STU01306,DevOps,Advanced,Visual
STU01307,Software Development,Advanced,practical
STU01308,"Data Analytics, Cybersecurity",Advanced,Visual
STU01309,Cloud Computing,Intermediate,Reading
STU01310,"Data Analytics, Data Science, Web Development",Intermediate,Visual
STU01311,"Data Analytics, SQL, Artificial Intelligence",Advanced,Reading
STU01312,Cloud Computing,Beginner,Visual
STU01313,"DevOps, Cloud Computing",Advanced,Visual
STU01314,"DevOps, Data Analytics, Software Development",Beginner,Reading
STU01315,Cloud Computing,Advanced,Reading
STU01316,Web Development,Beginner,practical
STU01317,"Cybersecurity, DevOps, Software Development",Advanced,Reading
STU01318,Artificial Intelligence,Advanced,practical
STU01319,"Data Analytics, Machine Learning, Data Science",Advanced,Visual
STU01320,DevOps,Beginner,Reading
STU01321,"Web Development, Data Science, Cloud Computing",Intermediate,practical
STU01322,"Python, Machine Learning",Intermediate,Reading
STU01323,"Deep Learning, Python",Advanced,Reading
STU01324,"Deep Learning, Cloud Computing, Cybersecurity",Advanced,practical
STU01325,"SQL, Artificial Intelligence, DevOps",Advanced,practical
STU01326,Data Science,Beginner,Visual
STU01327,"Web Development, Cloud Computing, Cybersecurity",Intermediate,Reading
STU01328,"Cybersecurity, Data Analytics, Web Development",Intermediate,Visual
STU01329,"SQL, Deep Learning, Cloud Computing",Beginner,practical
STU01330,"Software Development, Data Science",Advanced,practical
STU01331,"Web Development, Machine Learning, Artificial Intelligence",Intermediate,Reading
STU01332,"Machine Learning, Data Analytics, Data Science",Intermediate,Visual
STU01333,"Software Development, DevOps",Beginner,Reading
STU01334,"Data Analytics, Python",Beginner,Visual
STU01335,"DevOps, Web Development",Advanced,practical
STU01336,"Deep Learning, Web Development, Machine Learning",Intermediate,practical
STU01337,Python,Beginner,Reading
STU01338,"Cybersecurity, DevOps, Software Development",Beginner,Visual
STU01339,DevOps,Intermediate,Reading
STU01340,"Cloud Computing, Data Science, Artificial Intelligence",Advanced,Reading
STU01341,"Cybersecurity, Artificial Intelligence, Cloud Computing",Beginner,Visual
STU01342,"Cloud Computing, Python",Advanced,practical
STU01343,Data Analytics,Intermediate,Reading
STU01344,SQL,Advanced,practical
STU01345,"Artificial Intelligence, Software Development",Beginner,Visual
STU01346,"Cybersecurity, Python, Data Analytics",Advanced,practical
STU01347,Data Analytics,Beginner,practical
STU01348,"DevOps, Machine Learning, Web Development",Intermediate,Visual
STU01349,Software Development,Intermediate,Visual
STU01350,"Cloud Computing, Data Analytics",Beginner,Reading
STU01351,"Web Development, Software Development, Deep Learning",Advanced,practical
STU01352,"Python, DevOps, SQL",Advanced,Reading
STU01353,"Artificial Intelligence, Python",Beginner,Reading
STU01354,Data Science,Advanced,practical
STU01355,"Data Analytics, DevOps, Machine Learning",Advanced,Visual
STU01356,"Machine Learning, DevOps",Intermediate,Reading
STU01357,Data Analytics,Advanced,Visual
STU01358,SQL,Beginner,Reading
STU01359,Machine Learning,Advanced,Reading
STU01360,"Artificial Intelligence, Data Analytics",Beginner,practical
STU01361,Artificial Intelligence,Advanced,Reading
STU01362,"Artificial Intelligence, DevOps",Advanced,Visual
STU01363,"Cybersecurity, Machine Learning",Intermediate,practical
STU01364,"Machine Learning, Software Development, Data Analytics",Advanced,Reading
STU01365,"Deep Learning, Data Science, Cybersecurity",Advanced,Reading
STU01366,"Python, Artificial Intelligence, Web Development",Advanced,practical
STU01367,"Cybersecurity, DevOps",Beginner,practical
STU01368,"Cloud Computing, Python",Intermediate,Reading
STU01369,Machine Learning,Intermediate,Visual
STU01370,"SQL, Python",Advanced,Reading
STU01371,SQL,Beginner,Visual
STU01372,"Deep Learning, Cloud Computing",Beginner,Visual
STU01373,"Software Development, Data Science",Beginner,Visual
STU01374,Deep Learning,Advanced,Reading
STU01375,"Machine Learning, Python",Beginner,Reading
STU01376,"Deep Learning, Cloud Computing",Intermediate,Visual
STU01377,"Data Analytics, Data Science, SQL",Intermediate,Reading
STU01378,Web Development,Intermediate,Reading
STU01379,Data Science,Intermediate,practical
STU01380,"DevOps, Python, Machine Learning",Intermediate,Visual
STU01381,"Python, Artificial Intelligence, DevOps",Intermediate,Visual
STU01382,"Machine Learning, Artificial Intelligence, SQL",Advanced,Reading
STU01383,"Artificial Intelligence, Data Analytics",Advanced,practical
STU01384,"Data Science, Cybersecurity, Data Analytics",Intermediate,Reading
STU01385,Data Analytics,Intermediate,Reading
STU01386,"Artificial Intelligence, Web Development, SQL",Beginner,practical
STU01387,Python,Beginner,Visual
STU01388,"Artificial Intelligence, Cloud Computing, SQL",Intermediate,Reading
STU01389,Artificial Intelligence,Beginner,practical
STU01390,Data Science,Intermediate,Visual
STU01391,"SQL, Web Development, Deep Learning",Beginner,Reading
STU01392,"Software Development, Web Development, Deep Learning",Intermediate,Reading
STU01393,"Machine Learning, Artificial Intelligence",Beginner,Visual
STU01394,Data Analytics,Advanced,practical
STU01395,"Data Analytics, Python, DevOps",Advanced,practical
STU01396,"Data Analytics, Web Development",Beginner,practical
STU01397,"Python, Software Development",Advanced,Visual
STU01398,"Software Development, Machine Learning, Web Development",Beginner,practical
STU01399,"Cloud Computing, SQL",Advanced,Visual
STU01400,Software Development,Beginner,Visual
STU01401,"SQL, Python",Intermediate,Reading
STU01402,"Cloud Computing, Machine Learning",Beginner,Visual
STU01403,"Data Science, Machine Learning",Beginner,Visual
STU01404,Data Analytics,Beginner,practical
STU01405,"Data Analytics, Artificial Intelligence",Intermediate,Reading
STU01406,DevOps,Beginner,Visual
STU01407,Software Development,Advanced,practical
STU01408,"Data Science, Software Development",Intermediate,Reading
STU01409,Cloud Computing,Beginner,practical
STU01410,"Data Analytics, Data Science",Beginner,Visual
STU01411,Machine Learning,Advanced,practical
STU01412,Cybersecurity,Intermediate,practical
STU01413,"Web Development, Deep Learning, Cloud Computing",Beginner,Visual
STU01414,Machine Learning,Beginner,Reading
STU01415,Web Development,Intermediate,Visual
STU01416,Cybersecurity,Advanced,Reading
STU01417,Web Development,Advanced,Reading
STU01418,"Data Analytics, Python",Intermediate,practical
STU01419,Data Science,Beginner,practical
STU01420,Cloud Computing,Intermediate,Reading
STU01421,"Machine Learning, SQL, Cloud Computing",Intermediate,Reading
STU01422,Data Analytics,Intermediate,Visual
STU01423,"Deep Learning, Web Development, Cybersecurity",Beginner,Visual
STU01424,Web Development,Intermediate,practical
STU01425,DevOps,Beginner,Visual
STU01426,Python,Beginner,Reading
STU01427,"Deep Learning, Cybersecurity",Advanced,Visual
STU01428,Data Science,Advanced,Reading
STU01429,"Python, Deep Learning, Artificial Intelligence",Beginner,Visual
STU01430,"Deep Learning, Software Development",Advanced,Reading
STU01431,"DevOps, Deep Learning",Advanced,Visual
STU01432,"SQL, Cybersecurity",Beginner,Reading
STU01433,Software Development,Intermediate,Visual
STU01434,"Data Science, Python, DevOps",Intermediate,Reading
STU01435,"Deep Learning, Python",Beginner,Visual
STU01436,"Deep Learning, Python",Intermediate,Visual
STU01437,"Deep Learning, Web Development",Intermediate,Visual
STU01438,Software Development,Intermediate,practical
STU01439,Python,Beginner,practical
STU01440,"Python, Machine Learning, Cybersecurity",Intermediate,practical
STU01441,"Cybersecurity, DevOps",Advanced,Visual
STU01442,"Cybersecurity, Python, Machine Learning",Beginner,practical
STU01443,"Deep Learning, Software Development",Intermediate,practical
STU01444,"SQL, DevOps",Intermediate,practical
STU01445,"Cybersecurity, SQL",Beginner,Reading
STU01446,Web Development,Intermediate,Visual
STU01447,"Cloud Computing, SQL, Deep Learning",Intermediate,Visual
STU01448,"Cloud Computing, Artificial Intelligence, Machine Learning",Intermediate,Visual
STU01449,Cybersecurity,Beginner,Reading
STU01450,"Artificial Intelligence, Python",Intermediate,Visual
STU01451,"Web Development, Data Science",Advanced,Visual
STU01452,"Machine Learning, DevOps, Cloud Computing",Advanced,Reading
STU01453,"Machine Learning, SQL, Python",Beginner,practical
STU01454,"Data Science, SQL",Advanced,practical
STU01455,Data Science,Advanced,Reading
STU01456,"Cloud Computing, Web Development, DevOps",Intermediate,Reading
STU01457,"Software Development, Data Science",Advanced,Reading
STU01458,Data Analytics,Intermediate,Reading
STU01459,"Artificial Intelligence, Software Development, Cloud Computing",Beginner,practical
STU01460,Web Development,Beginner,Visual
STU01461,Python,Advanced,Reading
STU01462,"SQL, Machine Learning, Data Science",Intermediate,Visual
STU01463,Data Analytics,Intermediate,Reading
STU01464,"Machine Learning, Python",Beginner,Visual
STU01465,"Data Analytics, Python",Intermediate,Visual
STU01466,Data Analytics,Advanced,practical
STU01467,Web Development,Intermediate,Reading
STU01468,"Deep Learning, Python, Cybersecurity",Beginner,Reading
STU01469,"Deep Learning, Machine Learning, DevOps",Beginner,Visual
STU01470,"Deep Learning, Cybersecurity, Machine Learning",Advanced,Reading
STU01471,"Machine Learning, Deep Learning",Advanced,practical
STU01472,"Cybersecurity, SQL, Artificial Intelligence",Advanced,Visual
STU01473,"Deep Learning, Cybersecurity",Advanced,practical
STU01474,Cloud Computing,Intermediate,Reading
STU01475,Python,Intermediate,Reading
STU01476,Web Development,Beginner,Reading
STU01477,"Data Analytics, SQL",Advanced,practical
STU01478,"Cybersecurity, SQL",Advanced,Reading
STU01479,"Data Analytics, Web Development, Cloud Computing",Advanced,Reading
STU01480,Machine Learning,Advanced,Visual
STU01481,"Artificial Intelligence, Data Science, Cybersecurity",Advanced,practical
STU01482,DevOps,Intermediate,Visual
STU01483,"Software Development, DevOps, Data Analytics",Beginner,practical
STU01484,"Data Science, Web Development, Cloud Computing",Advanced,practical
STU01485,"DevOps, Deep Learning, Software Development",Beginner,Reading
STU01486,"Machine Learning, Web Development",Beginner,practical
STU01487,Data Analytics,Beginner,practical
STU01488,Cybersecurity,Advanced,Visual
STU01489,Data Analytics,Advanced,Visual
STU01490,"Web Development, Artificial Intelligence, Deep Learning",Beginner,practical
STU01491,Machine Learning,Beginner,Reading
STU01492,"Data Analytics, Data Science",Intermediate,Visual
STU01493,Data Analytics,Beginner,practical
STU01494,"DevOps, Machine Learning",Advanced,Visual
STU01495,"Artificial Intelligence, Machine Learning, SQL",Intermediate,Reading
STU01496,Cybersecurity,Beginner,Reading
STU01497,"DevOps, SQL",Advanced,Visual
STU01498,DevOps,Intermediate,Visual
STU01499,Cybersecurity,Advanced,Visual
STU01500,"Cloud Computing, Machine Learning, Data Analytics",Advanced,practical
STU01501,"Machine Learning, Cybersecurity, Cloud Computing",Intermediate,Visual
STU01502,DevOps,Beginner,Reading
STU01503,"Artificial Intelligence, Software Development",Beginner,Visual
STU01504,"Cybersecurity, SQL",Beginner,Visual
STU01505,Cybersecurity,Advanced,Visual
STU01506,"Cloud Computing, SQL",Advanced,Visual
STU01507,Deep Learning,Intermediate,practical
STU01508,"Cybersecurity, DevOps, Data Analytics",Beginner,practical
STU01509,"Cybersecurity, Web Development",Beginner,Visual
STU01510,Data Science,Advanced,Visual
STU01511,Data Analytics,Beginner,Visual
STU01512,"Artificial Intelligence, Python",Intermediate,Reading
STU01513,"Data Analytics, SQL, Software Development",Beginner,practical
STU01514,Deep Learning,Beginner,practical
STU01515,"Python, Software Development, Data Science",Intermediate,Reading
STU01516,Data Science,Intermediate,practical
STU01517,"Software Development, Data Science, Cloud Computing",Intermediate,practical
STU01518,"Web Development, Software Development",Advanced,Reading
STU01519,Deep Learning,Advanced,Reading
STU01520,Data Analytics,Advanced,Visual
STU01521,Deep Learning,Beginner,Reading
STU01522,Deep Learning,Beginner,Visual
STU01523,Web Development,Advanced,practical
STU01524,SQL,Beginner,Visual
STU01525,"Python, Cybersecurity",Beginner,Visual
STU01526,"Software Development, Artificial Intelligence, Cloud Computing",Intermediate,Reading
STU01527,Machine Learning,Intermediate,practical
STU01528,"SQL, DevOps, Data Science",Advanced,practical
STU01529,Cybersecurity,Advanced,Reading
STU01530,Cybersecurity,Beginner,practical
STU01531,DevOps,Intermediate,Visual
STU01532,"Data Science, Deep Learning, Cloud Computing",Intermediate,Reading
STU01533,"Deep Learning, Software Development, DevOps",Beginner,Visual
STU01534,Data Analytics,Intermediate,practical
STU01535,"Data Science, Artificial Intelligence, Deep Learning",Beginner,practical
STU01536,"Python, Deep Learning",Beginner,Visual
STU01537,"Data Science, Web Development",Beginner,Visual
STU01538,"SQL, Cloud Computing, DevOps",Intermediate,Reading
STU01539,"Cybersecurity, SQL, Data Science",Intermediate,Reading
STU01540,Cloud Computing,Intermediate,Visual
STU01541,Data Science,Beginner,Visual
STU01542,"Machine Learning, SQL",Intermediate,Visual
STU01543,"Cloud Computing, SQL, Data Analytics",Intermediate,Visual
STU01544,"Cloud Computing, Artificial Intelligence",Intermediate,Reading
STU01545,Software Development,Beginner,Reading
STU01546,DevOps,Beginner,Visual
STU01547,"Deep Learning, DevOps",Advanced,Reading
STU01548,"Web Development, Cloud Computing, Cybersecurity",Advanced,Reading
STU01549,"Python, Data Science, Machine Learning",Advanced,practical
STU01550,"Data Analytics, SQL",Beginner,Visual
STU01551,"Machine Learning, Python",Beginner,Visual
STU01552,"Data Science, Software Development",Beginner,practical
STU01553,"Cybersecurity, Python",Beginner,practical
STU01554,"Web Development, Artificial Intelligence, Deep Learning",Intermediate,practical
STU01555,"Artificial Intelligence, Deep Learning",Beginner,Reading
STU01556,Cybersecurity,Beginner,practical
STU01557,"Machine Learning, SQL, DevOps",Advanced,Visual
STU01558,Deep Learning,Advanced,Reading
STU01559,"Cloud Computing, Artificial Intelligence, Deep Learning",Beginner,practical
STU01560,"Web Development, Artificial Intelligence, Deep Learning",Intermediate,Reading
STU01561,"Data Science, Web Development",Advanced,Visual
STU01562,Data Analytics,Intermediate,Visual
STU01563,"Cloud Computing, Software Development",Beginner,Reading
STU01564,Python,Beginner,Visual
STU01565,"Cybersecurity, Python, Artificial Intelligence",Beginner,Visual
STU01566,"Machine Learning, Software Development, Cloud Computing",Beginner,practical
STU01567,"SQL, Data Analytics",Beginner,Reading
STU01568,"Deep Learning, Data Analytics",Advanced,Visual
STU01569,"Software Development, Cybersecurity, Data Science",Beginner,Visual
STU01570,"Cybersecurity, SQL",Intermediate,practical
STU01571,"Data Science, Deep Learning, Python",Beginner,Visual
STU01572,SQL,Beginner,Visual
STU01573,"Machine Learning, SQL",Beginner,Reading
STU01574,"Data Science, Data Analytics",Beginner,Reading
STU01575,Python,Advanced,Visual
STU01576,Web Development,Intermediate,Reading
STU01577,Cloud Computing,Intermediate,Visual
STU01578,"Cybersecurity, Web Development, Deep Learning",Beginner,practical
STU01579,Deep Learning,Advanced,Reading
STU01580,"Web Development, Machine Learning, Cybersecurity",Intermediate,practical
STU01581,"Python, Cloud Computing",Advanced,Reading
STU01582,"Cloud Computing, Web Development",Advanced,practical
STU01583,Python,Advanced,practical
STU01584,Artificial Intelligence,Beginner,practical
STU01585,"Software Development, Data Analytics, Cloud Computing",Advanced,Visual
STU01586,"Web Development, Data Science",Intermediate,Reading
STU01587,SQL,Beginner,Visual
STU01588,"Python, DevOps, Web Development",Beginner,Visual
STU01589,"Machine Learning, Data Science, Deep Learning",Intermediate,Reading
STU01590,Python,Beginner,Reading
STU01591,"Software Development, Data Analytics",Advanced,Reading
STU01592,Web Development,Beginner,Reading
STU01593,Software Development,Intermediate,Visual
STU01594,"Cloud Computing, Software Development",Intermediate,Visual
STU01595,"Web Development, Software Development",Intermediate,practical
STU01596,DevOps,Intermediate,Visual
STU01597,"Machine Learning, Data Science",Intermediate,Visual
STU01598,"Cybersecurity, Software Development, Data Analytics",Beginner,practical
STU01599,Deep Learning,Advanced,practical
STU01600,"Python, DevOps, Cloud Computing",Intermediate,practical
STU01601,Cybersecurity,Advanced,Reading
STU01602,DevOps,Beginner,practical
STU01603,Web Development,Advanced,Reading
STU01604,Cybersecurity,Intermediate,practical
STU01605,Data Analytics,Intermediate,Reading
STU01606,"Machine Learning, Data Science",Intermediate,practical
STU01607,Python,Advanced,practical
STU01608,"SQL, Artificial Intelligence",Beginner,Visual
STU01609,"Cloud Computing, Machine Learning, Data Science",Advanced,Reading
STU01610,Web Development,Advanced,Visual
STU01611,"Deep Learning, Data Science, Data Analytics",Intermediate,Reading
STU01612,"SQL, Web Development",Beginner,Visual
STU01613,"Software Development, SQL, Cybersecurity",Intermediate,Reading
STU01614,Cloud Computing,Beginner,practical
STU01615,"Software Development, Cloud Computing, Deep Learning",Advanced,Reading
STU01616,Cybersecurity,Advanced,Visual
STU01617,"Software Development, Data Science",Beginner,Reading
STU01618,"Data Analytics, Machine Learning",Intermediate,practical
STU01619,"SQL, Data Analytics, Data Science",Beginner,practical
STU01620,Python,Beginner,Reading
STU01621,"Machine Learning, Web Development",Beginner,practical
STU01622,"Cybersecurity, Data Science",Intermediate,Reading
STU01623,"SQL, Data Analytics",Beginner,Reading
STU01624,"Cybersecurity, Cloud Computing, Data Analytics",Advanced,practical
STU01625,Cybersecurity,Advanced,practical
STU01626,"Python, Deep Learning, Machine Learning",Beginner,practical
STU01627,"Cloud Computing, Data Analytics",Beginner,Reading
STU01628,"Machine Learning, Software Development, Artificial Intelligence",Advanced,Reading
STU01629,"DevOps, Machine Learning",Beginner,Reading
STU01630,"Deep Learning, Software Development, Python",Intermediate,Reading
STU01631,"Artificial Intelligence, SQL",Advanced,practical
STU01632,"DevOps, Python, Cybersecurity",Beginner,Reading
STU01633,"Machine Learning, DevOps",Intermediate,practical
